metric_scope,variable_code,variable,rows,r2,mae_scaled,rmse,smae
step,220210,Respiratory Rate,101083,0.00566868508428775,0.7850761499321164,1.8034818078000363,0.7850761499321164
step,220277,SpO2,99598,-0.0002635149858074559,0.6910726831949785,0.9937989279500368,0.6910726831949785
step,220635,Magnesium,6929,0.1547160661617103,0.5745918795293614,0.9181045446430987,0.5745918795293614
step,mean_unweighted,Unweighted mean,207610,,0.6835802375521521,,0.6835802375521521
step,mean_weighted,Weighted mean,207610,,0.7329543697206325,,0.7329543697206325
