metric_scope,variable_code,variable,patients,r2_patient,raw_mae,true_patient_avg_std,smae
patient_avg,220210,Respiratory Rate,5520,0.28314170092602653,0.46634226965770753,0.7912899514810184,0.5893443595294969
patient_avg,220277,SpO2,5507,0.2938073998694698,0.444861874324874,0.8585137488247487,0.518176761797772
patient_avg,220635,Magnesium,4322,0.13894987642904089,0.508092999417201,0.9631510925118841,0.527531976413069
