variable_code,variable,patients,r2_patient,raw_mae,true_patient_avg_std,smae
220210,Respiratory Rate,5520,0.5100574109042961,0.3687192544529984,0.7912899514810184,0.4659723705108156
220277,SpO2,5507,0.47734058459581086,0.35743316794649077,0.8585137488247487,0.4163394802189182
220635,Magnesium,4322,0.33012014025155667,0.3956963629943293,0.9631510925118841,0.41083519093806864
