variable_code,variable,rows,r2_step,mae_scaled,smae,rmse
220210,Respiratory Rate,101083,0.10377542069010715,0.6476481912180977,0.6476481912180977,1.7122005511885043
220277,SpO2,99598,0.286384399877626,0.5797254486085455,0.5797254486085455,0.83940872224691
220635,Magnesium,6929,0.38128860869806214,0.4518213903503505,0.4518213903503505,0.7854795559536517
mean_unweighted,Unweighted mean,207610,,0.5597316767256646,0.5597316767256646,
mean_weighted,Weighted mean,207610,,0.6085274686053199,0.6085274686053199,
