rule,r2_corr_definition_diagonal,r2_corr_scatter_fit_corr_squared,corr_vector_corr,step_smae_unweighted,step_smae_weighted,mean_patient_r2,mean_patient_smae
none,-30.636623590915935,0.25781172647599987,-0.5077516385753963,0.6793667244849945,0.7830407712783298,0.1367701128308683,0.20679289914656943
target_abs_le_1000,-5.217115432514217,0.9248958387311518,0.9617150506938902,0.5597316767256646,0.6085274686053199,0.43917271191722124,0.4310490138892675
target_and_pred_abs_le_1000,-5.217115432514217,0.9248958387311518,0.9617150506938902,0.5597316767256646,0.6085274686053199,0.43917271191722124,0.4310490138892675
target_iqr3,0.6918027827822514,0.909458818217825,0.9536555029033414,0.545887904630742,0.5958097590669522,0.4924789487909262,0.5178130433867422
target_and_pred_iqr3,0.6032906343698436,0.8911434276074043,0.9440039341058936,0.5440542591595389,0.5944969971221796,0.5092405779723985,0.5279399508969228
target_p0.1_99.9,0.6817055753724484,0.9219041410187264,0.9601583937136239,0.5498319645799107,0.5994398360807824,0.5148980611037158,0.5069215823182055
target_and_pred_p0.1_99.9,0.5610661204851392,0.887249436949878,0.9419391896241912,0.549399262875804,0.5989900858774792,0.5319033285931964,0.509617077554845
target_p1_99,0.661619680836243,0.9232395892995928,0.9608535732876227,0.529567862916248,0.5769198851902918,0.4679066541392105,0.5320125478828964
target_and_pred_p1_99,0.40700128081135956,0.874081182748614,0.9349230892156927,0.529326319668746,0.5770958749316368,0.5008050156473588,0.5382830924854282
